TABLE_NAME	COLUMN_NAME
asset_assignments	employee_id
attendance_records	employee_id
documents	employee_id
employee_shifts	employee_id
employees	manager_id
expenses	employee_id
expenses	approver_id
goals	employee_id
interviews	interviewer_id
leave_balances	employee_id
leave_requests	employee_id
leave_requests	approver_id
payroll_records	employee_id
performance_reviews	employee_id
performance_reviews	reviewer_id
salary_structures	employee_id
tickets	requester_id
tickets	assignee_id
training_enrollments	employee_id
travel_requests	employee_id
travel_requests	approver_id
